NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CRO00052_GALACTOSE_METABOLISM	CRO00052_GALACTOSE_METABOLISM		24	-0.31721193	-0.8408708	0.66697264	1.0	1.0	1885	tags=54%, list=40%, signal=89%	
CRO00250_ALANINE,_ASPARTATE_AND_GLUTAMATE_METABOLISM	CRO00250_ALANINE,_ASPARTATE_AND_GLUTAMATE_METABOLISM		30	-0.30255187	-0.8366158	0.6852111	1.0	1.0	85	tags=7%, list=2%, signal=7%	
CRO00660_C5-BRANCHED_DIBASIC_ACID_METABOLISM	CRO00660_C5-BRANCHED_DIBASIC_ACID_METABOLISM		13	-0.34135118	-0.7905107	0.71753573	1.0	1.0	270	tags=15%, list=6%, signal=16%	
CRO00760_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	CRO00760_NICOTINATE_AND_NICOTINAMIDE_METABOLISM		22	-0.3048771	-0.79036856	0.7329638	1.0	1.0	942	tags=27%, list=20%, signal=34%	
CRO00362_BENZOATE_DEGRADATION	CRO00362_BENZOATE_DEGRADATION		17	-0.31066367	-0.76534134	0.75673383	1.0	1.0	1113	tags=24%, list=23%, signal=31%	
CRO00650_BUTANOATE_METABOLISM	CRO00650_BUTANOATE_METABOLISM		31	-0.27470347	-0.7642623	0.7869509	1.0	1.0	768	tags=23%, list=16%, signal=27%	
CRO00040_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	CRO00040_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS		33	-0.2612517	-0.73576707	0.8264466	1.0	1.0	1538	tags=33%, list=32%, signal=49%	
CRO00280_VALINE,_LEUCINE_AND_ISOLEUCINE_DEGRADATION	CRO00280_VALINE,_LEUCINE_AND_ISOLEUCINE_DEGRADATION		8	-0.3461619	-0.71928984	0.78731257	1.0	1.0	768	tags=25%, list=16%, signal=30%	
CRO00190_OXIDATIVE_PHOSPHORYLATION	CRO00190_OXIDATIVE_PHOSPHORYLATION		43	-0.24224283	-0.7183123	0.86728466	1.0	1.0	750	tags=19%, list=16%, signal=22%	
CRO00350_TYROSINE_METABOLISM	CRO00350_TYROSINE_METABOLISM		13	-0.30287206	-0.7037966	0.8146336	1.0	1.0	70	tags=8%, list=1%, signal=8%	
CRO00561_GLYCEROLIPID_METABOLISM	CRO00561_GLYCEROLIPID_METABOLISM		12	-0.30255294	-0.6902832	0.82691485	1.0	1.0	113	tags=8%, list=2%, signal=9%	
CRO00053_ASCORBATE_AND_ALDARATE_METABOLISM	CRO00053_ASCORBATE_AND_ALDARATE_METABOLISM		20	-0.2668408	-0.67988825	0.8617039	1.0	1.0	1190	tags=25%, list=25%, signal=33%	
CRO00460_CYANOAMINO_ACID_METABOLISM	CRO00460_CYANOAMINO_ACID_METABOLISM		9	-0.31470752	-0.67376024	0.83531374	1.0	1.0	632	tags=22%, list=13%, signal=26%	
CRO00790_FOLATE_BIOSYNTHESIS	CRO00790_FOLATE_BIOSYNTHESIS		27	-0.24565013	-0.6644647	0.89495325	1.0	1.0	321	tags=11%, list=7%, signal=12%	
CRO01232_NUCLEOTIDE_METABOLISM	CRO01232_NUCLEOTIDE_METABOLISM		54	-0.21154466	-0.65318006	0.9466861	1.0	1.0	326	tags=11%, list=7%, signal=12%	
CRO00564_GLYCEROPHOSPHOLIPID_METABOLISM	CRO00564_GLYCEROPHOSPHOLIPID_METABOLISM		30	-0.23441319	-0.6475114	0.914386	1.0	1.0	33	tags=3%, list=1%, signal=3%	
CRO00670_ONE_CARBON_POOL_BY_FOLATE	CRO00670_ONE_CARBON_POOL_BY_FOLATE		13	-0.2677166	-0.6205405	0.89624614	1.0	1.0	1217	tags=31%, list=26%, signal=41%	
CRO00640_PROPANOATE_METABOLISM	CRO00640_PROPANOATE_METABOLISM		33	-0.21603441	-0.6086635	0.94755965	0.9941383	1.0	1452	tags=36%, list=31%, signal=52%	
CRO00521_STREPTOMYCIN_BIOSYNTHESIS	CRO00521_STREPTOMYCIN_BIOSYNTHESIS		9	-0.28027374	-0.60060596	0.9014765	0.9790356	1.0	1065	tags=33%, list=22%, signal=43%	
CRO00220_ARGININE_BIOSYNTHESIS	CRO00220_ARGININE_BIOSYNTHESIS		16	-0.21862476	-0.53061026	0.96201134	0.9931344	1.0	1373	tags=31%, list=29%, signal=44%	
CRO00523_POLYKETIDE_SUGAR_UNIT_BIOSYNTHESIS	CRO00523_POLYKETIDE_SUGAR_UNIT_BIOSYNTHESIS		6	-0.25688976	-0.4993991	0.96666986	0.9831377	1.0	1065	tags=33%, list=22%, signal=43%	
