Plasmid,gene_id,old_locus_tag,gene_biotype,Gene,synonym,product,product_kegg,note,other,protein_id,inference_coordinates,exon_number
NC_013716.1,ROD_RS00065,ROD_00111,protein_coding,dnaJ,NA,molecular chaperone DnaJ,chaperone protein DnaJ (heat shock protein J),NA,NA,WP_012904396.1,similar to AA sequence:RefSeq:NP_308042.1,1
NC_013716.1,ROD_RS00070,ROD_00121,protein_coding,NA,NA,LysR family transcriptional regulator,putative LysR-family transcriptional regulator,NA,NA,WP_012904397.1,similar to AA sequence:RefSeq:WP_004098467.1,1
NC_013716.1,ROD_RS00075,ROD_00122,protein_coding,NA,NA,phage holin family protein,conserved hypothetical protein,NA,NA,WP_012904398.1,similar to AA sequence:RefSeq:WP_004098468.1,1
NC_013716.1,ROD_RS00080,ROD_00131,protein_coding,NA,NA,glycoside hydrolase family 108 protein,conserved hypothetical protein,NA,NA,WP_012904399.1,similar to AA sequence:RefSeq:WP_001068136.1,1
NC_013716.1,ROD_RS00085,ROD_00141,protein_coding,NA,NA,winged helix-turn-helix domain-containing protein,conserved hypothetical protein,NA,NA,WP_012904400.1,similar to AA sequence:RefSeq:WP_014227858.1,1
NC_013716.1,ROD_RS00090,ROD_00151,protein_coding,NA,NA,glycosyl hydrolase family 18 protein,putative polysaccharide degrading enzyme,NA,NA,WP_012904401.1,similar to AA sequence:RefSeq:WP_007864131.1,1
NC_013716.1,ROD_RS28850,NA,pseudogene,NA,NA,hypothetical protein,NA,frameshifted,"partial true, pseudo true, incomplete, partial in the middle of a contig, missing N-terminus, partial true, pseudo true",NA,similar to AA sequence:RefSeq:WP_001284572.1,1
NC_013716.1,ROD_RS28855,NA,pseudogene,NA,NA,cytoplasmic protein,NA,incomplete,"partial true, pseudo true, partial in the middle of a contig, missing N-terminus and C-terminus, partial true, pseudo true",NA,similar to AA sequence:RefSeq:WP_001356890.1,1
NC_013716.1,ROD_RS00095,ROD_00161,protein_coding,nhaA,NA,Na+/H+ antiporter NhaA,Na(+)/H(+) antiporter 1,NA,NA,WP_012904402.1,similar to AA sequence:RefSeq:NP_308044.1,1
NC_013716.1,ROD_RS00100,ROD_00171,protein_coding,nhaR,NA,transcriptional activator NhaR,transcriptional regulator,NA,NA,WP_012904403.1,similar to AA sequence:RefSeq:WP_015368331.1,1
NC_013716.1,ROD_RS00105,ROD_00181,protein_coding,NA,NA,glycoside hydrolase family 31 protein,putative glycosyl hydrolase,NA,NA,WP_012904404.1,similar to AA sequence:RefSeq:NP_459046.1,1
NC_013716.1,ROD_RS00110,ROD_00191,protein_coding,NA,NA,MFS transporter,putative transport protein,NA,NA,WP_012904405.1,similar to AA sequence:RefSeq:NP_459047.1,1
NC_013716.1,ROD_RS00115,ROD_00212,protein_coding,rpsT,NA,30S ribosomal protein S20,30S ribosomal protein S20,NA,NA,WP_002887965.1,similar to AA sequence:RefSeq:WP_006117633.1,1
NC_013716.1,ROD_RS28860,ROD_00213,protein_coding,NA,NA,DUF2575 family protein,putative membrane protein,NA,NA,WP_012904407.1,similar to AA sequence:RefSeq:WP_015406137.1,1
NC_013716.1,ROD_RS00125,ROD_00221,protein_coding,ribF,NA,bifunctional riboflavin kinase/FAD synthetase,riboflavin biosynthesis protein,NA,NA,WP_012904408.1,similar to AA sequence:RefSeq:NP_308055.1,1
NC_013716.1,ROD_RS00130,ROD_00231,protein_coding,ileS,NA,isoleucine--tRNA ligase,isoleucyl-tRNA synthetase,NA,NA,WP_012904409.1,similar to AA sequence:RefSeq:WP_005124083.1,1
NC_013716.1,ROD_RS00135,ROD_00241,protein_coding,lspA,NA,signal peptidase II,lipoprotein signal peptidase,NA,NA,WP_012904410.1,similar to AA sequence:RefSeq:WP_016149529.1,1
NC_013716.1,ROD_RS00140,ROD_00251,protein_coding,fkpB,NA,FKBP-type peptidyl-prolyl cis-trans isomerase,FkbB-type 16 kD peptidyl-prolyl cis-trans isomerase,NA,NA,WP_012904411.1,similar to AA sequence:RefSeq:WP_004128778.1,1
NC_013716.1,ROD_RS00145,ROD_00261,protein_coding,ispH,lytB,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,NA,NA,WP_012904412.1,similar to AA sequence:RefSeq:WP_005124087.1,1
NC_013716.1,ROD_RS00150,ROD_00271,protein_coding,NA,NA,glucose-6-phosphate isomerase,hypothetical protein,NA,NA,WP_012904413.1,similar to AA sequence:RefSeq:WP_003845667.1,1
NC_013716.1,ROD_RS00155,ROD_00281,protein_coding,NA,NA,PTS system mannose/fructose/sorbose family transporter subunit IID,putative PTS system protein,NA,NA,WP_012904414.1,similar to AA sequence:RefSeq:WP_003837346.1,1
NC_013716.1,ROD_RS00160,ROD_00291,protein_coding,NA,NA,PTS sugar transporter subunit IIC,putative PTS system protein,NA,NA,WP_012904415.1,similar to AA sequence:RefSeq:WP_016151644.1,1
NC_013716.1,ROD_RS00165,ROD_00301,protein_coding,NA,NA,PTS sugar transporter subunit IIB,putative PTS system protein,NA,NA,WP_012904416.1,similar to AA sequence:RefSeq:WP_015572639.1,1
NC_013716.1,ROD_RS00170,ROD_00311,protein_coding,NA,NA,PTS fructose transporter subunit IIA,putative PTS system protein,NA,NA,WP_012904417.1,similar to AA sequence:RefSeq:WP_003837351.1,1
NC_013716.1,ROD_RS00175,ROD_00321,protein_coding,NA,NA,class I mannose-6-phosphate isomerase,conserved hypothetical protein,NA,NA,WP_012904418.1,similar to AA sequence:RefSeq:WP_019078343.1,1
NC_013716.1,ROD_RS00180,ROD_00331,protein_coding,NA,NA,LacI family DNA-binding transcriptional regulator,putative LacI-family transcriptional regulator,NA,NA,WP_012904419.1,similar to AA sequence:RefSeq:WP_020882554.1,1
NC_013716.1,ROD_RS00185,ROD_00341,protein_coding,dapB,NA,4-hydroxy-tetrahydrodipicolinate reductase,dihydrodipicolinate reductase,NA,NA,WP_012904420.1,similar to AA sequence:RefSeq:NP_308061.1,1
NC_013716.1,ROD_RS00190,ROD_00351,protein_coding,carA,NA,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,carbamoyl-phosphate synthase small chain,NA,NA,WP_012904421.1,similar to AA sequence:RefSeq:NP_459071.1,1
NC_013716.1,ROD_RS00195,ROD_00361,protein_coding,carB,NA,carbamoyl-phosphate synthase large subunit,carbamoyl-phosphate synthase large chain,NA,NA,WP_012904422.1,similar to AA sequence:RefSeq:WP_001126399.1,1
NC_013716.1,ROD_RS00200,ROD_00371,protein_coding,caiF,NA,carnitine metabolism transcriptional regulator CaiF,transcriptional activator,NA,NA,WP_012904423.1,similar to AA sequence:RefSeq:WP_000333323.1,1
NC_013716.1,ROD_RS00205,ROD_00381,protein_coding,caiD,NA,crotonobetainyl-CoA hydratase,carnitinyl-CoA dehydratase,NA,NA,WP_012904424.1,similar to AA sequence:RefSeq:NP_459075.1,1
NC_013716.1,ROD_RS00210,ROD_00391,protein_coding,caiC,NA,crotonobetaine/carnitine-CoA ligase,probable crotonobetaine/carnitine-CoA ligase,NA,NA,WP_012904425.1,similar to AA sequence:RefSeq:NP_414579.4,1
NC_013716.1,ROD_RS00215,ROD_00401,protein_coding,caiB,NA,L-carnitine CoA-transferase,crotonobetainyl-CoA:carnitine CoA-transferase,NA,NA,WP_012904426.1,similar to AA sequence:RefSeq:NP_459077.1,1
NC_013716.1,ROD_RS00220,ROD_00411,protein_coding,caiA,NA,crotonobetainyl-CoA dehydrogenase,crotonobetainyl-CoA dehydrogenase,NA,NA,WP_012904427.1,similar to AA sequence:RefSeq:WP_005124373.1,1
NC_013716.1,ROD_RS00225,ROD_00421,protein_coding,caiT,NA,L-carnitine/gamma-butyrobetaine antiport BCCT transporter,L-carnitine/gamma-butyrobetaine antiporter,NA,NA,WP_012904428.1,similar to AA sequence:RefSeq:NP_459079.1,1
NC_013716.1,ROD_RS00235,ROD_00441,protein_coding,fixA,NA,electron transfer flavoprotein FixA,probable electron transfer flavoprotein subunit of oxidoreductase,NA,NA,WP_012904430.1,similar to AA sequence:RefSeq:WP_015965968.1,1
NC_013716.1,ROD_RS00240,ROD_00451,protein_coding,fixB,NA,electron transfer flavoprotein subunit alpha/FixB family protein,probable electron transfer flavoprotein subunit of oxidoreductase,NA,NA,WP_012904431.1,similar to AA sequence:RefSeq:NP_459081.1,1
NC_013716.1,ROD_RS00245,ROD_00461,protein_coding,fixC,NA,FAD-dependent oxidoreductase,FAD-dependent oxidoreductase,NA,NA,WP_012904432.1,similar to AA sequence:RefSeq:NP_459082.1,1
NC_013716.1,ROD_RS00250,ROD_00471,protein_coding,fixX,NA,ferredoxin-like protein FixX,ferredoxin like protein,NA,NA,WP_012904433.1,similar to AA sequence:RefSeq:NP_308074.1,1
NC_013716.1,ROD_RS00255,ROD_00481,protein_coding,NA,NA,IS110-like element ISCro4 family transposase,ISCro4 transposase,NA,NA,WP_012904434.1,similar to AA sequence:RefSeq:WP_012904434.1,1
NC_013716.1,ROD_RS00260,ROD_00491,protein_coding,NA,NA,MFS transporter,major facilitator superfamily protein,NA,NA,WP_012904435.1,similar to AA sequence:RefSeq:WP_016249600.1,1
NC_013716.1,ROD_RS00265,ROD_00501,protein_coding,NA,NA,YgdI/YgdR family lipoprotein,putative lipoprotein,NA,NA,WP_012904436.1,similar to AA sequence:RefSeq:NP_459085.1,1
NC_013716.1,ROD_RS00270,ROD_00511,protein_coding,NA,NA,autotransporter outer membrane beta-barrel domain-containing protein,putative adhesin autotransporter,NA,NA,WP_231851593.1,similar to AA sequence:RefSeq:WP_015368298.1,1
NC_013716.1,ROD_RS28865,NA,protein_coding,NA,NA,hypothetical protein,NA,NA,NA,WP_231851594.1,ab initio prediction:GeneMarkS-2+,1
NC_013716.1,ROD_RS00275,ROD_00521,protein_coding,kefF,NA,glutathione-regulated potassium-efflux system oxidoreductase KefF,glutathione-regulated potassium-efflux system ancillary protein,NA,NA,WP_012904438.1,similar to AA sequence:RefSeq:NP_706002.1,1
NC_013716.1,ROD_RS00280,ROD_00531,protein_coding,kefC,NA,glutathione-regulated potassium-efflux system protein KefC,glutathione-regulated potassium-efflux system protein,NA,NA,WP_012904439.1,similar to AA sequence:RefSeq:NP_706003.1,1
NC_013716.1,ROD_RS00285,ROD_00551,protein_coding,folA,NA,type 3 dihydrofolate reductase,dihydrofolate reductase,NA,NA,WP_012904441.1,similar to AA sequence:RefSeq:WP_020456510.1,1
NC_013716.1,ROD_RS00290,ROD_00561,protein_coding,apaH,NA,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ApaH,bis(5'-nucleosyl)-tetraphosphatase,NA,NA,WP_012904442.1,similar to AA sequence:RefSeq:NP_459093.1,1
NC_013716.1,ROD_RS00295,ROD_00571,protein_coding,apaG,NA,Co2+/Mg2+ efflux protein ApaG,conserved hypothetical protein,NA,NA,WP_012904443.1,similar to AA sequence:RefSeq:NP_459094.1,1
NC_013716.1,ROD_RS00300,ROD_00581,protein_coding,ksgA,rsmA,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA,"dimethyladenosine transferase (S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase)",NA,NA,WP_012904444.1,similar to AA sequence:RefSeq:NP_706007.1,1
NC_013716.1,ROD_RS00305,ROD_00591,protein_coding,pdxA,NA,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,4-hydroxythreonine-4-phosphate dehydrogenase,NA,NA,WP_012904445.1,similar to AA sequence:RefSeq:NP_308084.1,1
NC_013716.1,ROD_RS00310,ROD_00601,protein_coding,surA,NA,peptidylprolyl isomerase SurA,chaperone precursor (peptidyl-prolyl cis-trans isomerase),NA,NA,WP_012904446.1,similar to AA sequence:RefSeq:NP_308085.1,1
NC_013716.1,ROD_RS00315,ROD_00611,protein_coding,imp,lptD,LPS assembly protein LptD,organic solvent tolerance protein precursor,NA,NA,WP_012904447.1,similar to AA sequence:RefSeq:NP_414596.1,1
NC_013716.1,ROD_RS00320,ROD_00621,protein_coding,djlA,NA,co-chaperone DjlA,DnaJ-like protein,NA,NA,WP_012904448.1,similar to AA sequence:RefSeq:NP_308087.1,1
NC_013716.1,ROD_RS00325,ROD_00631,protein_coding,rluA,NA,bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA,ribosomal large subunit pseudouridine synthase A,NA,NA,WP_012904449.1,similar to AA sequence:RefSeq:NP_414600.1,1
NC_013716.1,ROD_RS00330,ROD_00641,protein_coding,rapA,NA,RNA polymerase-associated protein RapA,RNA polymerase-associated protein,NA,NA,WP_012904450.1,similar to AA sequence:RefSeq:WP_001117023.1,1
NC_013716.1,ROD_RS00335,ROD_00651,protein_coding,polB,NA,DNA polymerase II,DNA polymerase II,NA,NA,WP_012904451.1,similar to AA sequence:RefSeq:NP_414602.1,1
NC_013716.1,ROD_RS00340,ROD_00661,protein_coding,NA,NA,DUF4751 family protein,conserved hypothetical protein,NA,NA,WP_231851628.1,similar to AA sequence:RefSeq:WP_016155677.1,1
NC_013716.1,ROD_RS00345,ROD_00671,protein_coding,araD,NA,L-ribulose-5-phosphate 4-epimerase,L-ribulose-5-phosphate 4-epimerase,NA,NA,WP_012904453.1,similar to AA sequence:RefSeq:NP_414603.1,1
NC_013716.1,ROD_RS00350,ROD_00691,protein_coding,araA,NA,L-arabinose isomerase,L-arabinose isomerase,NA,NA,WP_012904454.1,similar to AA sequence:RefSeq:NP_308093.1,1
NC_013716.1,ROD_RS00355,ROD_00701,protein_coding,araB,NA,ribulokinase,ribulokinase,NA,NA,WP_012904455.1,similar to AA sequence:RefSeq:NP_459108.1,1
NC_013716.1,ROD_RS00360,ROD_00711,protein_coding,araC,NA,arabinose operon transcriptional regulator AraC,arabinose operon regulatory protein,NA,NA,WP_012904456.1,similar to AA sequence:RefSeq:NP_308095.1,1
NC_013716.1,ROD_RS00365,ROD_00721,protein_coding,NA,NA,DedA family protein,putative membrane protein,NA,NA,WP_012904457.1,similar to AA sequence:RefSeq:NP_414607.1,1
NC_013716.1,ROD_RS00370,ROD_00731,protein_coding,thiQ,NA,thiamine ABC transporter ATP-binding protein ThiQ,"thiamine ABC transport system, ATP-binding protein",NA,NA,WP_012904458.1,similar to AA sequence:RefSeq:NP_459111.1,1
NC_013716.1,ROD_RS00375,ROD_00741,protein_coding,thiP,NA,thiamine/thiamine pyrophosphate ABC transporter permease ThiP,"thiamine ABC transport system, permease protein",NA,NA,WP_012904459.1,similar to AA sequence:RefSeq:NP_706020.1,1
NC_013716.1,ROD_RS00380,ROD_00751,protein_coding,thiB,NA,thiamine ABC transporter substrate binding subunit,"thiamine ABC transport system, substrate-binding protein precursor",NA,NA,WP_024132461.1,similar to AA sequence:RefSeq:NP_414610.1,1
NC_013716.1,ROD_RS00385,ROD_00761,protein_coding,sgrR,NA,HTH-type transcriptional regulator SgrR,putative substrate-binding protein,NA,NA,WP_012904461.1,similar to AA sequence:RefSeq:NP_459114.1,1
NC_013716.1,ROD_RS00390,NA,protein_coding,NA,NA,glucose uptake inhibitor SgrT,NA,NA,NA,WP_024132462.1,similar to AA sequence:RefSeq:WP_003829577.1,1
NC_013716.1,ROD_RS00395,ROD_00781,protein_coding,setA,NA,sugar efflux transporter,sugar efflux transporter A,NA,NA,WP_012904462.1,similar to AA sequence:RefSeq:YP_025293.1,1
NC_013716.1,ROD_RS00400,ROD_00791,protein_coding,leuD,NA,3-isopropylmalate dehydratase small subunit,3-isopropylmalate dehydratase small subunit,NA,NA,WP_012904463.1,similar to AA sequence:RefSeq:NP_459115.1,1
NC_013716.1,ROD_RS00405,ROD_00801,protein_coding,leuC,NA,3-isopropylmalate dehydratase large subunit,3-isopropylmalate dehydratase large subunit,NA,NA,WP_012904464.1,similar to AA sequence:RefSeq:NP_414614.1,1
NC_013716.1,ROD_RS00410,ROD_00811,protein_coding,leuB,NA,3-isopropylmalate dehydrogenase,3-isopropylmalate dehydrogenase,NA,NA,WP_012904465.1,similar to AA sequence:RefSeq:WP_005124544.1,1
NC_013716.1,ROD_RS00415,ROD_00821,protein_coding,leuA,NA,2-isopropylmalate synthase,2-isopropylmalate synthase,NA,NA,WP_012904466.1,similar to AA sequence:RefSeq:WP_016831521.1,1
NC_013716.1,ROD_RS00425,ROD_00831,protein_coding,leuO,NA,transcriptional regulator LeuO,LysR-family transcriptional regulator,NA,NA,WP_012904468.1,similar to AA sequence:RefSeq:NP_459120.1,1
NC_013716.1,ROD_RS00430,ROD_00841,protein_coding,ilvI,NA,acetolactate synthase 3 large subunit,acetolactate synthase isozyme III large subunit,NA,NA,WP_012904469.1,similar to AA sequence:RefSeq:WP_020079613.1,1
NC_013716.1,ROD_RS00435,ROD_00851,protein_coding,ilvH,ilvN,acetolactate synthase small subunit,acetolactate synthase isozyme III small subunit,NA,NA,WP_012904470.1,similar to AA sequence:RefSeq:WP_001563086.1,1
NC_013716.1,ROD_RS00440,ROD_00861,protein_coding,fruR,cra,catabolite repressor/activator,fructose repressor,NA,NA,WP_012904471.1,similar to AA sequence:RefSeq:NP_308111.1,1
NC_013716.1,ROD_RS00445,ROD_00871,protein_coding,mraZ,NA,division/cell wall cluster transcriptional repressor MraZ,conserved hypothetical protein,NA,NA,WP_024132463.1,similar to AA sequence:RefSeq:WP_020325403.1,1
NC_013716.1,ROD_RS00450,ROD_00881,protein_coding,mraW,rsmH,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,S-adenosyl-L-methionine-dependent methyltransferase,NA,NA,WP_012904473.1,similar to AA sequence:RefSeq:WP_005124563.1,1
NC_013716.1,ROD_RS00455,ROD_00891,protein_coding,ftsL,NA,cell division protein FtsL,cell division protein FtsL,NA,NA,WP_012904474.1,similar to AA sequence:RefSeq:WP_000625658.1,1
NC_013716.1,ROD_RS00460,ROD_00901,protein_coding,ftsI,NA,peptidoglycan glycosyltransferase FtsI,peptidoglycan synthetase (penicillin-binding protein 3),NA,NA,WP_012904475.1,similar to AA sequence:RefSeq:WP_000642204.1,1
NC_013716.1,ROD_RS00465,ROD_00911,protein_coding,murE,NA,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase","UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-dia minopimelate ligase",NA,NA,WP_012904476.1,similar to AA sequence:RefSeq:NP_459128.1,1
NC_013716.1,ROD_RS00470,ROD_00921,protein_coding,murF,NA,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-ala nine ligase,NA,NA,WP_012904477.1,similar to AA sequence:RefSeq:NP_414628.1,1
NC_013716.1,ROD_RS00475,ROD_00931,protein_coding,mraY,NA,phospho-N-acetylmuramoyl-pentapeptide-transferase,phospho-N-acetylmuramoyl-pentapeptide-transfera se,NA,NA,WP_012904478.1,similar to AA sequence:RefSeq:WP_005124610.1,1
NC_013716.1,ROD_RS00480,ROD_00941,protein_coding,murD,NA,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,UDP-N-acetylmuramoylalanine--D-glutamate ligase,NA,NA,WP_012904479.1,similar to AA sequence:RefSeq:WP_005124612.1,1
NC_013716.1,ROD_RS00485,ROD_00951,protein_coding,ftsW,NA,cell division protein FtsW,cell division protein FtsW,NA,NA,WP_012904480.1,similar to AA sequence:RefSeq:NP_459132.1,1
NC_013716.1,ROD_RS00490,ROD_00961,protein_coding,murG,NA,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,UDP-N-acetylglucosamine--N-acetylmuramyl-(penta peptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,NA,NA,WP_012904481.1,similar to AA sequence:RefSeq:NP_414632.1,1
NC_013716.1,ROD_RS00495,ROD_00971,protein_coding,murC,NA,UDP-N-acetylmuramate--L-alanine ligase,UDP-N-acetylmuramate:alanine ligase,NA,NA,WP_012904482.1,similar to AA sequence:RefSeq:NP_459134.1,1
NC_013716.1,ROD_RS00500,ROD_00981,protein_coding,ddlB,NA,D-alanine--D-alanine ligase,D-alanine--D-alanine ligase B,NA,NA,WP_012904483.1,similar to AA sequence:RefSeq:NP_414634.1,1
NC_013716.1,ROD_RS00505,ROD_00991,protein_coding,ftsQ,NA,cell division protein FtsQ,cell division protein FtsQ,NA,NA,WP_012904484.1,similar to AA sequence:RefSeq:NP_459136.1,1
NC_013716.1,ROD_RS00510,ROD_01001,protein_coding,ftsA,NA,cell division protein FtsA,cell division protein FtsA,NA,NA,WP_012904485.1,similar to AA sequence:RefSeq:NP_459137.1,1
NC_013716.1,ROD_RS00515,ROD_01011,protein_coding,ftsZ,NA,cell division protein FtsZ,cell division protein FtsZ,NA,NA,WP_004857884.1,similar to AA sequence:RefSeq:WP_015965916.1,1
NC_013716.1,ROD_RS00520,ROD_01021,protein_coding,lpxC,NA,UDP-3-O-acyl-N-acetylglucosamine deacetylase,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,NA,NA,WP_012904486.1,similar to AA sequence:RefSeq:NP_459139.1,1
NC_013716.1,ROD_RS00525,ROD_01031,protein_coding,secM,NA,secA translation cis-regulator SecM,secretion monitor precursor,NA,NA,WP_024132464.1,similar to AA sequence:RefSeq:NP_308128.2,1
NC_013716.1,ROD_RS00530,ROD_01041,protein_coding,secA,NA,preprotein translocase subunit SecA,preprotein translocase SecA subunit,NA,NA,WP_012904488.1,similar to AA sequence:RefSeq:NP_459141.1,1
NC_013716.1,ROD_RS00535,ROD_01051,protein_coding,mutT,NA,8-oxo-dGTP diphosphatase MutT,"mutator protein (7,8-dihydro-8-oxoguanine-triphosphatase)",NA,NA,WP_012904489.1,similar to AA sequence:RefSeq:NP_459142.1,1
NC_013716.1,ROD_RS00540,ROD_01061,protein_coding,yacG,NA,DNA gyrase inhibitor YacG,conserved hypothetical protein,NA,NA,WP_012904490.1,similar to AA sequence:RefSeq:WP_000005041.1,1
NC_013716.1,ROD_RS00545,ROD_01071,protein_coding,zapD,NA,cell division protein ZapD,conserved hypothetical protein,NA,NA,WP_012904491.1,similar to AA sequence:RefSeq:NP_459144.1,1
NC_013716.1,ROD_RS00550,ROD_01081,protein_coding,coaE,NA,dephospho-CoA kinase,dephospho-CoA kinase,Dephospho-CoA kinase (CoaE) performs the final step in coenzyme A biosynthesis.,NA,WP_012904492.1,similar to AA sequence:RefSeq:NP_308134.1,1
NC_013716.1,ROD_RS00555,ROD_01091,protein_coding,guaC,NA,GMP reductase,GMP reductase,NA,NA,WP_012904493.1,similar to AA sequence:RefSeq:NP_414646.1,1
NC_013716.1,ROD_RS00560,ROD_01101,protein_coding,hofC,NA,protein transport protein HofC,protein transport protein HofC,NA,NA,WP_012904494.1,similar to AA sequence:RefSeq:WP_020245524.1,1
NC_013716.1,ROD_RS00565,ROD_01111,protein_coding,hofB,gspE,type II secretion system protein GspE,protein transport protein HofB,NA,NA,WP_012904495.1,similar to AA sequence:RefSeq:WP_003018727.1,1
NC_013716.1,ROD_RS00570,ROD_01121,protein_coding,ppdD,NA,prepilin peptidase-dependent pilin,prepilin peptidase dependent protein D precursor,NA,NA,WP_012904496.1,similar to AA sequence:RefSeq:NP_414650.1,1
NC_013716.1,ROD_RS00575,ROD_01131,protein_coding,nadC,NA,carboxylating nicotinate-nucleotide diphosphorylase,nicotinate-nucleotide pyrophosphorylase [carboxylating],NA,NA,WP_024132465.1,similar to AA sequence:RefSeq:NP_308140.1,1
NC_013716.1,ROD_RS00580,ROD_01141,protein_coding,ampD,NA,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD",N-acetyl-anhydromuramyl-L-alanine-amidase,NA,NA,WP_012904498.1,similar to AA sequence:RefSeq:NP_459151.1,1
NC_013716.1,ROD_RS00585,ROD_01151,protein_coding,ampE,NA,beta-lactamase regulator AmpE,AmpE protein,NA,NA,WP_012904499.1,similar to AA sequence:RefSeq:NP_414653.1,1
NC_013716.1,ROD_RS00590,ROD_01161,protein_coding,NA,NA,family 43 glycosylhydrolase,putatuve glycosysl hydrolase,NA,NA,WP_012904500.1,similar to AA sequence:RefSeq:NP_459153.1,1
NC_013716.1,ROD_RS00595,ROD_01171,protein_coding,NA,NA,MFS transporter,putative symporter,NA,NA,WP_012904501.1,similar to AA sequence:RefSeq:NP_459154.1,1
NC_013716.1,ROD_RS00600,ROD_01181,protein_coding,aroP,NA,aromatic amino acid transporter AroP,aromatic amino acid transport protein,NA,NA,WP_012904502.1,similar to AA sequence:RefSeq:NP_414654.1,1
NC_013716.1,ROD_RS00605,ROD_01191,protein_coding,pdhR,NA,pyruvate dehydrogenase complex transcriptional repressor PdhR,pyruvate dehydrogenase complex repressor,NA,NA,WP_012904503.1,similar to AA sequence:RefSeq:NP_308144.1,1
NC_013716.1,ROD_RS00610,ROD_01201,protein_coding,aceE,NA,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type",pyruvate dehydrogenase E1 component,NA,NA,WP_012904504.1,similar to AA sequence:RefSeq:WP_008814576.1,1
NC_013716.1,ROD_RS00615,ROD_01211,protein_coding,aceF,NA,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase,NA,NA,WP_012904505.1,similar to AA sequence:RefSeq:WP_000963593.1,1
